start_height,end_height,length_qubic_run,total_orphans_on_run,max_consecutive_orphan_heights,start_ts,end_ts
3489601,3489602,2,1,1,2025-08-31 06:07:47,2025-08-31 06:08:04
3489617,3489628,12,9,9,2025-08-31 06:45:21,2025-08-31 07:11:02
3489630,3489631,2,1,1,2025-08-31 07:17:17,2025-08-31 07:19:42
3489642,3489643,2,1,1,2025-08-31 07:47:27,2025-08-31 07:51:26
3489661,3489662,2,1,1,2025-08-31 08:20:12,2025-08-31 08:26:11
3489664,3489665,2,1,1,2025-08-31 08:34:05,2025-08-31 08:36:19
3489666,3489667,2,1,1,2025-08-31 08:39:06,2025-08-31 08:45:30
3489668,3489669,2,1,1,2025-08-31 08:47:35,2025-08-31 08:48:40
3489671,3489672,2,1,1,2025-08-31 08:52:15,2025-08-31 08:54:57
3489676,3489677,2,1,1,2025-08-31 09:00:15,2025-08-31 09:00:40
3489678,3489679,2,1,1,2025-08-31 09:05:54,2025-08-31 09:09:27
3489681,3489682,2,1,1,2025-08-31 09:11:26,2025-08-31 09:18:31
3489688,3489689,2,1,1,2025-08-31 09:25:47,2025-08-31 09:26:30
3489690,3489691,2,1,1,2025-08-31 09:30:03,2025-08-31 09:32:05
3489718,3489719,2,2,2,2025-08-31 10:43:12,2025-08-31 10:45:03
3489721,3489722,2,1,1,2025-08-31 10:50:13,2025-08-31 10:53:31
3489724,3489725,2,1,1,2025-08-31 10:56:25,2025-08-31 10:59:54
3489730,3489731,2,1,1,2025-08-31 11:02:40,2025-08-31 11:04:31
3489737,3489738,2,1,1,2025-08-31 11:16:10,2025-08-31 11:18:55
3489743,3489744,2,1,1,2025-08-31 11:26:37,2025-08-31 11:30:09
3489750,3489751,2,1,1,2025-08-31 11:38:37,2025-08-31 11:38:50
3489762,3489763,2,1,1,2025-08-31 11:55:35,2025-08-31 11:59:29
3489772,3489774,3,2,2,2025-08-31 12:22:27,2025-08-31 12:26:40
3489775,3489776,2,1,1,2025-08-31 12:29:28,2025-08-31 12:29:51
3489777,3489778,2,1,1,2025-08-31 12:33:00,2025-08-31 12:34:04
3489780,3489781,2,1,1,2025-08-31 12:35:52,2025-08-31 12:36:57
3489784,3489785,2,1,1,2025-08-31 12:45:16,2025-08-31 12:46:21
3489805,3489806,2,1,1,2025-08-31 13:27:24,2025-08-31 13:28:18
3489815,3489816,2,1,1,2025-08-31 13:37:02,2025-08-31 13:40:55
3489819,3489821,3,2,2,2025-08-31 13:51:54,2025-08-31 13:54:17
3489883,3489884,2,1,1,2025-08-31 15:43:28,2025-08-31 15:44:08
3489888,3489889,2,1,1,2025-08-31 15:57:06,2025-08-31 15:59:10
3490226,3490227,2,1,1,2025-09-01 01:43:45,2025-09-01 01:45:52
3490230,3490231,2,1,1,2025-09-01 01:52:05,2025-09-01 01:54:47
3490614,3490615,2,1,1,2025-09-01 13:57:27,2025-09-01 13:57:41
